"","agency","year","department","expense_category","budget_code","budget_name","adopted","modified","encumbered","cash_expense","pre_encumbered","post_adjustment","accrued_expense"
"4328","Department of Youth and Community Development","2013","PROGRAM SERVICES - PS","PY LONGEVITY DIFFERENTIAL","5004","ADULT LITERACY","0","0","0","0","0","0","0"
"4329","Department of Youth and Community Development","2013","PROGRAM SERVICES - PS","BACKPAY - PRIOR YEARS","4106","Beacon","0","0","0","0","0","0","0"
"4330","Department of Youth and Community Development","2013","PROGRAM SERVICES - PS","AMOUNT TO BE SCHEDULED-PS","3755","SYEP Seasonals","0","0","0","0","0","0","0"
"4331","Department of Youth and Community Development","2013","PROGRAM SERVICES - PS","BACKPAY - PRIOR YEARS","3750","WIA ADMINISTRATION","0","0","0","0","0","0","0"
"4332","Department of Youth and Community Development","2013","PROGRAM SERVICES - PS","OVERTIME","3698","CEO -  Service  Learning Initiatives","0","0","0","0","0","0","0"
"4333","Department of Youth and Community Development","2013","PROGRAM SERVICES - PS","SHIFT DIFFERENTIAL","3698","CEO -  Service  Learning Initiatives","0","0","0","0","0","0","0"
"4334","Department of Youth and Community Development","2013","PROGRAM SERVICES - PS","PY OVERTIME","3156","OST SUPPORT STAFF","0","0","0","0","0","0","0"
"4335","Department of Youth and Community Development","2013","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3155","ADMINISTRATION","0","0","0","0","0","0","0"
"4336","Department of Youth and Community Development","2013","PROGRAM SERVICES - PS","BONUS PAYMENTS","3150","YOUTHLINE","0","0","0","0","0","0","0"
"4337","Department of Youth and Community Development","2013","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","S010","CSBG ARRA - Fatherhood","0","0","0","0","0","0","0"
"4338","Department of Youth and Community Development","2013","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES GENERAL","9916","Toyota Family Literacy Program","0","0","0","0","0","0","0"
"4339","Department of Youth and Community Development","2013","COMMUNITY DEVELOPMENT OTPS","OFFICE SERVICES","9855","ADULT ED","0","0","0","0","0","0","0"
"4340","Department of Youth and Community Development","2013","COMMUNITY DEVELOPMENT OTPS","DATA PROCESSING EQUIPMENT","9850","MIS -  Technology","0","0","0","0","0","0","0"
"4341","Department of Youth and Community Development","2013","COMMUNITY DEVELOPMENT OTPS","PROF SERV OTHER","9807","ADOLESCENT DATING VIOLENCE GRANT","0","0","0","0","0","0","0"
"4342","Department of Youth and Community Development","2013","COMMUNITY DEVELOPMENT OTPS","OVERNIGHT TRVL EXP-SPECIAL","9855","ADULT ED","0","0","0","0","0","0","0"
"4343","Department of Youth and Community Development","2013","COMMUNITY DEVELOPMENT OTPS","ALLOWANCES TO PARTICIPANTS","9807","ADOLESCENT DATING VIOLENCE GRANT","0","0","0","0","0","0","0"
"4344","Department of Youth and Community Development","2013","OTHER THAN PERSONAL SERVICES","MOTOR VEHICLES","P312","FINANCIAL PLAN SAVINGS","-3100","-3100","0","0","0","0","0"
"4345","Department of Youth and Community Development","2013","COMMUNITY DEVELOPMENT OTPS","OTHER EXPENSES - GENERAL","P005","FINANCIAL PLAN SAVINGS","-157416","-157416","0","0","0","0","0"
"4346","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3550","OST - OPTION 1","122436719","75813392","0","73734835.17","0","2078556.65","0"
"4347","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3549","OST RFP RESTORATION","20000000","68177606","0","65715646.55","0","1784779.87","0"
"4348","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3711","Summer Youth Employment Program","23015728","22836486","0","22836485.88","0","0","0"
"4349","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3680","BEACONS","21727745","22617270","0","22220508.28","0","396761.08","0"
"4350","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9805","COMMUNITY ACTION","18558146","20280662","0","20251920.6","0","28740.68","0"
"4351","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3625","TAX LEVY ELECTED OFFICIALS","18516515","19021089","0","17716432.03","0","1114445.83","0"
"4352","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9825","BORO NEEDS","31109092","12955302","0","11632722.99","0","1063473.22","0"
"4353","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3702","WIA - Out-of-School Youth","13061180","12897487","0","10392499.99","0","0","0"
"4354","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3690","BEACONS ACS & DYS","7316182","8579606","0","8523528.54","0","56076.69","0"
"4355","Department of Youth and Community Development","2014","EXECUTIVE AND ADMINISTRATIVE MGMT PS","FULL YEAR POSITIONS","2006","Support Staff","7933396","8282798","0","8282797.77","0","0","0"
"4356","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3557","Youth Program at NYCHA","8563425","8277245","0","8106874.07","0","144877.18","0"
"4357","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3535","NYCHA Community Services","9800000","8038505","0","7174075.11","0","703668.81","0"
"4358","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3711","Summer Youth Employment Program","5949575","7470159","0","7497823.81","0","112677.9","0"
"4359","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3606","TRANSITIONAL INDPT LIVING","1789873","5697441","0","5556123.28","0","0","0"
"4360","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","4180","BEACONS-FED CD","5507000","5507000","0","5423851.55","0","232123.58","0"
"4361","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","JTPA-WAGES","3712","CSBG - SYEP","0","5360109","0","5360106.73","0","0","0"
"4362","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3616","RUNAWAYS","7972898","5230883","0","5201852.7","0","16756","0"
"4363","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3697","CEO  -  Youth Internships","0","5196140","0","4968290.28","0","0","0"
"4364","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3715","WIA OST High School","4675406","4675406","0","4574181.76","0","0","0"
"4365","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9826","IMMIGRANT OPPORTUNITY INITIATIVE","0","4500000","0","4035345.71","0","329654.38","0"
"4366","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9923","DEFERRED ACTION FOR CHILDHOOD ARRIVALS","0","3931055","0","3711077.78","0","219976.84","0"
"4367","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","RENTALS - LAND BLDGS & STRUCTS","3112","ADMINISTRATIVE","3153947","3153947","0","3119098.64","0","34848.7","0"
"4368","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3741","Charter Schools PB","2938661","2938661","0","2430703","0","159013","0"
"4369","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3697","CEO  -  Youth Internships","0","2924398","0","2923924","0","0","0"
"4370","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3180","BEACONS","2000000","2610000","0","2610000","0","0","0"
"4371","Department of Youth and Community Development","2014","EXECUTIVE AND ADMINISTRATIVE MGMT PS","FULL YEAR POSITIONS","6006","Legal/General Counsel","2571695","2571695","0","2291577.65","0","0","0"
"4372","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3701","WIA - In-School Youth","2557564","2557564","0","0","0","0","0"
"4373","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3710","Summer Youth Employment Program","1340525","2239187","0","1915880.45","0","73304.39","0"
"4374","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","4006","Out of School Time","2280673","2182473","0","2177655.72","0","0","0"
"4375","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3685","TAX LEVY INITIATIVES","1999784","2132377","0","2087712.45","0","24986.72","0"
"4376","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3551","OST - OPTION   2","0","2131297","0","2070693.09","0","7321.43","0"
"4377","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","RENTALS - LAND BLDGS & STRUCTS","9904","CSBG-AOTPS","1925886","1992942","0","1992941.93","0","0","0"
"4378","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3700","WIA SYEP","2771506","1933140","0","1398108","0","0","0"
"4379","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","3711","Summer Youth Employment Program","1838957","1825406","0","1825089.13","0","0","0"
"4380","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3693","CEO - Young Men's Initiative","1724170","1804170","0","1802396.96","0","0","0"
"4381","Department of Youth and Community Development","2014","EXECUTIVE AND ADMINISTRATIVE MGMT PS","FULL YEAR POSITIONS","1006","Executive Staff","1580671","1759573","0","1803795.69","0","0","0"
"4382","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3553","OST - Technical  Assistance","1170000","1723237","0","1711946.48","0","11290.3","0"
"4383","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3535","NYCHA Community Services","0","1592746","0","1592746","0","0","0"
"4384","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9917","Adult Literacy Program: Classroom Inst","1561000","1561000","0","1542267.74","0","25786.79","0"
"4385","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","3712","CSBG - SYEP","0","1487475","0","1483986.95","0","3488.01","0"
"4386","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3716","SYEP - Private Grants","0","1461329","0","1461328.11","0","0","0"
"4387","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","5201","Community Development Operations","1351204","1351204","0","1393878.09","0","0","0"
"4388","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9924","DEFERRED ACTION FOR CHILDHOOD ARRIVALS","0","1338961","0","1313703.5","0","85262.72","0"
"4389","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3698","CEO -  Service  Learning Initiatives","0","1332495","0","1265145.89","0","40698.76","0"
"4390","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3006","Program Operations","1465491","1239301","0","1074465.91","0","0","0"
"4391","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","E312","HURRICANE SANDY","0","1171108","0","883317.65","0","0","0"
"4392","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","5001","Out of School Youth/CUV","1115910","1115910","0","984821.64","0","0","0"
"4393","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV ACCTING & AUDITING","3612","ADMIN OTPS","1083760","1083760","0","581204","0","502556","0"
"4394","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3693","CEO - Young Men's Initiative","1144159","1059159","0","1055682","0","0","0"
"4395","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3696","CEO -  Young Adult Literacy","0","1050000","0","1027121.89","0","0","0"
"4396","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","MAINT & REP GENERAL","3557","Youth Program at NYCHA","0","1036840","0","1036840","0","0","0"
"4397","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9915","ADULT ED ACT","1000000","1000000","0","994324.25","0","5675.03","0"
"4398","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","5006","Summer Youth Employment","983629","983629","0","983911.12","0","0","0"
"4399","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","4003","Discretionary","940091","940091","0","1259023.73","0","0","0"
"4400","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3696","CEO -  Young Adult Literacy","2030000","880000","0","825220.92","0","40594.08","0"
"4401","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9922","DEFERRED ACTION FOR CHILDHOOD ARRIVALS","0","836978","0","797777","0","47134","0"
"4402","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3692","CEO - Young Men's Initiative - OST","800000","788000","0","701337.19","0","82662.97","0"
"4403","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","COMMUNITY CONSULTANT CONTRACTS","9805","COMMUNITY ACTION","781016","762566","0","740056.16","0","40959.86","0"
"4404","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","4106","Beacon","937244","728297","0","721984.67","0","0","0"
"4405","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3550","OST - OPTION 1","0","609790","0","513589.54","0","0","0"
"4406","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3550","OST - OPTION 1","0","579868","0","71242.27","0","0.62","0"
"4407","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","5101","Office of Immigrant Affairs","564064","564064","0","457805.9","0","0","0"
"4408","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3716","SYEP - Private Grants","0","531700","0","523268.43","0","3115","0"
"4409","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3691","CEO - Young Men's Initiative - YALP","525000","528617","0","510475.11","0","18140.77","0"
"4410","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","4206","Vulnerable Youth/RHY","834930","501317","0","499859.98","0","0","0"
"4411","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3558","Cornerstone - NYCHA","569008","440931","0","373987.16","0","0","0"
"4412","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","JTPA-FRINGES","3712","CSBG - SYEP","0","428355","0","428352.73","0","0","0"
"4413","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","5005","Deputy Commissioner Community Developmen","427642","427642","0","389339.43","0","0","0"
"4414","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","4001","In School Youth","421324","421324","0","619700.61","0","0","0"
"4415","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9920","CSBG - Literacy Programs","479593","417796","0","412418.35","0","7417.92","0"
"4416","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3535","NYCHA Community Services","400000","400000","0","428166.57","0","0","0"
"4417","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3550","OST - OPTION 1","400000","400000","0","400000","0","0","0"
"4418","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3190","BEACONS/ACS","0","386816","0","386816","0","0","0"
"4419","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","5004","ADULT LITERACY","843505","378923","0","361394.85","0","0","0"
"4420","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3617","RHY Safe Harbor","0","375540","0","369511.2","0","6027.78","0"
"4421","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","2804","Food Pantry Program","375000","375000","0","374998.99","0","0.99","0"
"4422","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3550","OST - OPTION 1","373325","373325","0","259955.42","0","113368.66","0"
"4423","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3711","Summer Youth Employment Program","416656","368000","0","367999.17","0","0","0"
"4424","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","UNSALARIED","5006","Summer Youth Employment","352296","352296","0","271115.07","0","0","0"
"4425","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3691","CEO - Young Men's Initiative - YALP","0","350000","0","341141.94","0","0","0"
"4426","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","2002","WIA-EEO","331788","331788","0","194907.59","0","0","0"
"4427","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV ACCTING & AUDITING","3705","WIA AOTPS","217600","300100","0","204800","0","0","0"
"4428","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PROF SERV ACCTING & AUDITING","9804","ADMIN OTPS","656433","289000","0","277840","0","11160","0"
"4429","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","BOOKS-OTHER","3550","OST - OPTION 1","0","287575","0","10974.6","0","0","0"
"4430","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3697","CEO  -  Youth Internships","270000","270000","0","282692.27","0","0","0"
"4431","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV ACCTING & AUDITING","3625","TAX LEVY ELECTED OFFICIALS","0","260426","0","260324.36","0","101","0"
"4432","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","3697","CEO  -  Youth Internships","0","258664","0","230835","0","0","0"
"4433","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3000","YOUTHLINE","252883","252883","0","197559.97","0","0","0"
"4434","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3554","OST - Evaluation","250000","250000","0","250000","0","0","0"
"4435","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3112","ADMINISTRATIVE","246358","246358","0","246358","0","0","0"
"4436","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3700","WIA SYEP","0","242317","0","0","0","0","0"
"4437","Department of Youth and Community Development","2014","EXECUTIVE AND ADMINISTRATIVE MGMT PS","LONGEVITY DIFFERENTIAL","2006","Support Staff","206943","206943","0","199064.86","0","0","0"
"4438","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","9805","COMMUNITY ACTION","0","203220","0","203220","0","0","0"
"4439","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3705","WIA AOTPS","202674","202674","0","0","0","0","0"
"4440","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","RENTALS - LAND BLDGS & STRUCTS","3705","WIA AOTPS","194510","194510","0","8123.5","0","0","0"
"4441","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","TELEPHONE & OTHER COMMUNICATNS","4199","AOTPS-IC","183416","183416","0","183416","0","0","0"
"4442","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PROF SERV ACCTING & AUDITING","9825","BORO NEEDS","0","180974","0","116986.64","0","63986.5","0"
"4443","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","MOTOR VEHICLES","3535","NYCHA Community Services","0","168749","0","168749","0","0","0"
"4444","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","3700","WIA SYEP","261595","154458","0","111745.78","0","0","0"
"4445","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3698","CEO -  Service  Learning Initiatives","150673","150673","0","142185.72","0","0","0"
"4446","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3700","WIA SYEP","0","146050","0","124334.25","0","0","0"
"4447","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3718","SYEP Ladders for Leaders","0","141240","0","104530.66","0","0","0"
"4448","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3710","Summer Youth Employment Program","0","139713","0","139712.11","0","0","0"
"4449","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3697","CEO  -  Youth Internships","0","135000","0","121849","0","13151","0"
"4450","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","E005","HURRICANE SANDY","0","129425","0","112313.56","0","17111.1","0"
"4451","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","COMMUNITY CONSULTANT CONTRACTS","3702","WIA - Out-of-School Youth","0","125000","0","123650.8","0","0","0"
"4452","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3705","WIA AOTPS","204094","121594","0","0","0","0","0"
"4453","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3705","WIA AOTPS","118843","118843","0","118843","0","0","0"
"4454","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","3716","SYEP - Private Grants","0","116782","0","116781.66","0","0","0"
"4455","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PURCH DATA PROCESSING EQUIPT","3612","ADMIN OTPS","7000","112329","0","112180.99","0","0","0"
"4456","Department of Youth and Community Development","2014","EXECUTIVE AND ADMINISTRATIVE MGMT PS","OVERTIME","2006","Support Staff","108978","108978","0","110620.94","0","0","0"
"4457","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PROF SERV COMPUTER SERVICES","9921","Adult Literacy Technical Assistance","105000","105000","0","70000","0","35000","0"
"4458","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","DATA PROCESSING SUPPLIES","3612","ADMIN OTPS","15000","100092","0","100075.86","0","0","0"
"4459","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3696","CEO -  Young Adult Literacy","0","100000","0","100000","0","0.86","0"
"4460","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","4104","Emergency Shelter","0","98217","0","98216.56","0","0","0"
"4461","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PURCH DATA PROCESSING EQUIPT","3550","OST - OPTION 1","0","98196","0","81988","0","15800","0"
"4462","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PAY FOR SURETY BOND/INSUR PREM","9805","COMMUNITY ACTION","158108","93108","0","72478.83","0","20629","0"
"4463","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","3693","CEO - Young Men's Initiative","91418","91418","0","83320","0","0","0"
"4464","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","4306","Deputy Commissioner Youth Services","146932","89924","0","69770.79","0","0","0"
"4465","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES GENERAL","3612","ADMIN OTPS","42500","78957","0","72047.31","0","2116","0"
"4466","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3691","CEO - Young Men's Initiative - YALP","75000","75000","0","74999.94","0","0","0"
"4467","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","COMMUNITY CONSULTANT CONTRACTS","3698","CEO -  Service  Learning Initiatives","0","75000","0","75000","0","0","0"
"4468","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3158","CD Funded Programs - Beacon Schools","70035","70035","0","59307.57","0","0","0"
"4469","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","RENTALS OF MISC.EQUIP","3612","ADMIN OTPS","72600","69380","0","57109.19","0","0","0"
"4470","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3692","CEO - Young Men's Initiative - OST","65000","65000","0","12336.98","0","0","0"
"4471","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PROF SERV OTHER","3712","CSBG - SYEP","0","64688","0","50916.7","0","0","0"
"4472","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","COMMUNITY CONSULTANT CONTRACTS","3692","CEO - Young Men's Initiative - OST","50000","62000","0","60940.36","0","1059.94","0"
"4473","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3612","ADMIN OTPS","45900","61886","0","54138.03","0","0","0"
"4474","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","RENTALS OF MISC.EQUIP","3705","WIA AOTPS","60000","60000","0","0","0","0","0"
"4475","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3718","SYEP Ladders for Leaders","0","54600","0","40785.02","0","1914.95","0"
"4476","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EQUIPMENT GENERAL","3550","OST - OPTION 1","0","54593","0","52650.5","0","0","0"
"4477","Department of Youth and Community Development","2014","EXECUTIVE AND ADMINISTRATIVE MGMT PS","HOLIDAY PAY","2006","Support Staff","51369","51369","0","2023.49","0","0","0"
"4478","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3553","OST - Technical  Assistance","0","50000","0","50000","0","0","0"
"4479","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3691","CEO - Young Men's Initiative - YALP","50000","50000","0","49960.01","0","40.47","0"
"4480","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","MOTOR VEHICLES","3612","ADMIN OTPS","0","44351","0","44351","0","0","0"
