"Adopted","Agency","Budget Fiscal Year","Closing Classification Name","Fiscal Year","Fund Class","Funding Class","Modified","Recognized","Revenue Category","Revenue Class","Revenue Source"\
0.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,0.00,-60506.00,TAXES,GENERAL PROPERTY TAXES,SUSPENDED PROPERTY  TAX PAYMENTS Revenue
8883915.00,Fire Department,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,8883915.00,-60507.73,Federal Grants-Categorical,Health and Human Services,OCCUPATIONAL SAFETY AND HEALTH PROGRAM
0.00,Department of Parks and Recreation,2016,Collected Unearned Revenue Roll,2017,General Fund,OTHER CATEGORICAL,67756.00,-60525.50,Non-Governmental Grants,NONGOVT GRANTS-OTHER,PARKS RECREATION AND CONSERVATION
0.00,Department of Education,2016,Collected Revenue,2016,General Fund,STATE,0.00,-60526.00,State Grants-Categorical,EDUCATION,SPECIFIC PROGRAMS/WELFARE ED
0.00,Department of Education,2016,Billed Revenue,2016,General Fund,STATE,0.00,-60526.00,State Grants-Categorical,EDUCATION,SPECIFIC PROGRAMS/WELFARE ED
9493191.00,Department of Small Business Services,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,12656251.00,-60561.44,Federal Grants-Categorical,LABOR,W.I.A.  DISLOCATED WORKERS
17500000.00,Department of Education,2016,Billed Revenue,2016,General Fund,STATE,17500000.00,-60576.00,State Grants-Categorical,EDUCATION,SPECIAL GRANTS-MISCELLANEOUS
0.00,Police Department,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,0.00,-60597.08,Non-Governmental Grants,NONGOVT GRANTS-HIGHWAYS & STS,TEA- CITY WIDE CONSTRUCTION PROJECT
30000000.00,Department of Education,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,30000000.00,-60630.00,Federal Grants-Categorical,EDUCATION,TITLE I GRANTS TO LOCAL EDUCATIONAL AGCS
30000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,30000000.00,-60632.00,Federal Grants-Categorical,EDUCATION,TITLE I GRANTS TO LOCAL EDUCATIONAL AGCS
0.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-60651.00,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
823851.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,823851.00,-60671.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
823851.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,823851.00,-60671.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,SHELTER PLUS CARE
182888412.00,Department of Social Services,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,180709395.00,-60701.00,Federal Grants-Categorical,Health and Human Services,TEMPORARY ASSISTANCE FOR NEEDY FAMILIES
50000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,50000000.00,-60720.00,Non-Governmental Grants,NONGOVT GRANTS-EDUCATION,PRIVATE GRANTS
0.00,District Attorney - Bronx County,2016,Billed Revenue,2016,General Fund,STATE,138460.00,-60734.56,State Grants-Categorical,CRIMINAL JUSTICE,MOTOR VEHICLE THEFT INSU FRAUD
446147.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,515197.00,-60741.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
2129000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,2167000000.00,-60748.00,TAXES,INCOME TAXES,UNINCORPORATED BUSINESS INC TX
0.00,Department of Parks and Recreation,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,855897.00,-60753.18,Non-Governmental Grants,NONGOVT GRANTS-OTHER,PRIVATE GRANTS
0.00,Mayoralty,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,185125.00,-60759.27,Federal Grants-Categorical,JUSTICE,Justice Reinvestment Initiative
0.00,Mayoralty,2016,Collected Unearned Revenue Roll,2017,General Fund,OTHER CATEGORICAL,0.00,-60767.09,Non-Governmental Grants,NONGOVT GRANTS - HOUSING,NYC Build It Back Home Repair Program
272935691.00,Housing Preservation and Development,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,417636172.00,-60774.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - VOUCHER
272935691.00,Housing Preservation and Development,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,417636172.00,-60774.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - VOUCHER
272935691.00,Housing Preservation and Development,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,417636172.00,-60774.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - VOUCHER
272935691.00,Housing Preservation and Development,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,414046460.00,-60774.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - VOUCHER
16332722.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,16332722.00,-60774.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
16332722.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,16332722.00,-60774.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
0.00,Administration for Children's Services,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,2655807.00,-60830.00,Federal Grants-Categorical,Health and Human Services,TEMP.ASST NEEDY FAMILY 100%FED
826428.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,826428.00,-60857.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,SHELTER PLUS CARE
0.00,Department of Parks and Recreation,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,1474615.00,-60857.62,Non-Governmental Grants,NONGOVT GRANTS-OTHER,BATTERY PARK CITY PEP
-29000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-29000000.00,-60888.00,TAXES,OTHER TAXES,REFUNDS OF ALL OTHER TAXES
-29000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-29000000.00,-60888.00,TAXES,OTHER TAXES,REFUNDS OF ALL OTHER TAXES
0.00,Mayoralty,2016,Collected Revenue,2016,General Fund,FEDERAL - CD,0.00,-60892.54,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,EMERGENCY REPAIR
30000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,30000000.00,-60893.00,Federal Grants-Categorical,EDUCATION,TITLE I GRANTS TO LOCAL EDUCATIONAL AGCS
0.00,Department of Finance,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,0.00,-60899.65,Non-Governmental Grants,NONGOVT GRANTS-OTHER,PRIVATE GRANTS
409606.00,Housing Preservation and Development,2016,Unbilled Revenue,2022,General Fund,OTHER CATEGORICAL,409606.00,-60906.76,Non-Governmental Grants,NONGOVT GRANTS - HOUSING,NYC HOUSING TRUST FUND - BPCA
409606.00,Housing Preservation and Development,2016,Billed Revenue,2020,General Fund,OTHER CATEGORICAL,409606.00,-60906.76,Non-Governmental Grants,NONGOVT GRANTS - HOUSING,NYC HOUSING TRUST FUND - BPCA
0.00,Housing Preservation and Development,2016,Unbilled Revenue,2016,General Fund,OTHER CATEGORICAL,279105.00,-60906.76,Non-Governmental Grants,NONGOVT GRANTS - HOUSING,NYC HOUSING & URBAN DEVELOPMENT
30000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,30000000.00,-60908.00,Federal Grants-Categorical,EDUCATION,TITLE I GRANTS TO LOCAL EDUCATIONAL AGCS
1698000.00,Law Department,2016,Collected Revenue,2016,General Fund,CITY FUNDS,1698000.00,-60925.40,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
1698000.00,Law Department,2016,Collected Revenue,2016,General Fund,CITY FUNDS,1698000.00,-60925.40,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
15000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,15000000.00,-60938.02,Federal Grants-Categorical,EDUCATION,SPECIAL GRANTS MISC
15000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,15000000.00,-60938.02,Federal Grants-Categorical,EDUCATION,SPECIAL GRANTS MISC
73585.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,73585.00,-60942.50,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
0.00,Department of Finance,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,0.00,-60953.87,Non-Governmental Grants,NONGOVT GRANTS-OTHER,PRIVATE GRANTS
702786.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,702786.00,-60954.32,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
702786.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,702786.00,-60954.32,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
1330000.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,1528425.00,-60956.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
0.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-60956.00,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
10799190.00,Administration for Children's Services,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,1324007.00,-60957.00,Federal Grants-Categorical,Health and Human Services,TANF - FRINGE BENEFITS
0.00,Borough President - Bronx,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,367849.00,-60969.78,Federal Grants-Categorical,JUSTICE,ARREST POLICIES&ENFORCEMENT PROTECTION
1698000.00,Law Department,2016,Collected Revenue,2016,General Fund,CITY FUNDS,1698000.00,-60998.22,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
0.00,Police Department,2016,Billed Revenue,2017,General Fund,STATE,1184777.00,-61028.00,State Grants-Categorical,MOTOR VEHICLES,STOP DRIVING WHILE INTOXICATED
2226337.00,Department of Transportation,2016,Collected Unearned Revenue Roll,2017,General Fund,STATE,2163546.00,-61028.00,State Grants-Categorical,MOTOR VEHICLES,STOP DRIVING WHILE INTOXICATED
826428.00,Housing Preservation and Development,2016,Billed Revenue,2018,General Fund,FEDERAL - OTHER,826428.00,-61055.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
826428.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,826428.00,-61055.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
7591456.00,Administration for Children's Services,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,7591456.00,-61097.00,Federal Grants-Categorical,Health and Human Services,INDEPENDENT LIVING
-29000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-29000000.00,-61112.11,TAXES,OTHER TAXES,REFUNDS OF ALL OTHER TAXES
-29000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-29000000.00,-61112.11,TAXES,OTHER TAXES,REFUNDS OF ALL OTHER TAXES
0.00,Administration for Children's Services,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,2655807.00,-61117.00,Federal Grants-Categorical,Health and Human Services,TEMP.ASST NEEDY FAMILY 100%FED
0.00,Housing Preservation and Development,2016,Unbilled Revenue,2019,General Fund,FEDERAL - OTHER,492409.00,-61117.67,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,Family Self-Sufficiency Program
300000.00,Housing Preservation and Development,2016,Billed Revenue,2018,General Fund,FEDERAL - OTHER,651565.00,-61151.54,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
300000.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,651565.00,-61151.54,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
0.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-61151.54,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
823851.00,Housing Preservation and Development,2016,Billed Revenue,2018,General Fund,FEDERAL - OTHER,823851.00,-61168.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
0.00,Department of Information Technology and Telecommunications,2016,Collected Unearned Revenue Roll,2016,General Fund,OTHER CATEGORICAL,259225.00,-61194.68,Non-Governmental Grants,NONGOVT GRANTS-OTHER,NON-GOVERNMENTAL GRANTS
0.00,Department of Information Technology and Telecommunications,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,259225.00,-61194.68,Non-Governmental Grants,NONGOVT GRANTS-OTHER,NON-GOVERNMENTAL GRANTS
1478792.00,Department of Transportation,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,1478792.00,-61200.00,Federal Grants-Categorical,TRANSPORTATION,MANHATTAN BRIDGE
1478792.00,Department of Transportation,2016,Unbilled Revenue,2017,General Fund,FEDERAL - OTHER,1478792.00,-61200.00,Federal Grants-Categorical,TRANSPORTATION,MANHATTAN BRIDGE
823851.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,823851.00,-61202.97,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
0.00,Administration for Children's Services,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-61211.01,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
127102331.00,Administration for Children's Services,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,123307996.00,-61211.01,Federal Grants-Categorical,Health and Human Services,FOSTER CARE TITLE IV-E
0.00,Department of Transportation,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-61234.72,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
73585.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,73585.00,-61236.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
73585.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,73585.00,-61236.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
-29000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-29000000.00,-61237.68,TAXES,OTHER TAXES,REFUNDS OF ALL OTHER TAXES
-29000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-29000000.00,-61237.68,TAXES,OTHER TAXES,REFUNDS OF ALL OTHER TAXES
0.00,Department of Transportation,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,488464.00,-61265.79,Federal Grants-Categorical,TRANSPORTATION,HIGHWAY PLANNING AND CONSTRUCTION
826428.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,826428.00,-61281.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
826428.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,826428.00,-61281.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
73585.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,73585.00,-61285.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
73585.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,73585.00,-61285.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
2129000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,2129000000.00,-61316.00,TAXES,INCOME TAXES,UNINCORPORATED BUSINESS INC TX
0.00,Administration for Children's Services,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,2655807.00,-61327.00,Federal Grants-Categorical,Health and Human Services,TEMP.ASST NEEDY FAMILY 100%FED
0.00,Miscellaneous,2016,Collected Unearned Revenue Roll,2023,General Fund,STATE,0.00,-61343.82,State Grants and Contracts-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
15000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,15000000.00,-61356.52,Federal Grants-Categorical,EDUCATION,SPECIAL GRANTS MISC
823851.00,Housing Preservation and Development,2016,Billed Revenue,2018,General Fund,FEDERAL - OTHER,823851.00,-61358.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
12000000.00,Department of Finance,2016,Collected Revenue,2016,General Fund,CITY FUNDS,12000000.00,-61360.00,CHARGES FOR SERVICES,GENERAL GOVERNMENTAL CHARGES,ADMINISTRATIVE SERV TO PUBLIC
12000000.00,Department of Finance,2016,Collected Revenue,2016,General Fund,CITY FUNDS,12000000.00,-61360.00,CHARGES FOR SERVICES,GENERAL GOVERNMENTAL CHARGES,ADMINISTRATIVE SERV TO PUBLIC
13672815.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,STATE,13028790.00,-61399.44,State Grants-Categorical,SOCIAL SERVICES,MEDICAL ASSISTANCE ADMINISTRAT
-29000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-29000000.00,-61399.92,TAXES,OTHER TAXES,REFUNDS OF ALL OTHER TAXES
-29000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,-29000000.00,-61399.92,TAXES,OTHER TAXES,REFUNDS OF ALL OTHER TAXES
8997809.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,8404061.00,-61419.14,Federal Grants-Categorical,Health and Human Services,IMMUNIZATION PROGRAM
0.00,Department of Health and Mental Hygiene,2016,Collected Unearned Revenue Roll,2016,General Fund,STATE,0.00,-61431.69,State Grants-Categorical,HOLDING ACCT-UNDISTRBTED CASH,HOLDING ACCT UNALLOC STE RECPT
0.00,Mayoralty,2016,Billed Revenue,2017,General Fund,OTHER CATEGORICAL,0.00,-61470.45,Non-Governmental Grants,NONGOVT GRANTS - HOUSING,NYC Build It Back Home Repair Program
30000000.00,Department of Education,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,30000000.00,-61476.00,Federal Grants-Categorical,EDUCATION,TITLE I GRANTS TO LOCAL EDUCATIONAL AGCS
0.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,0.00,-61500.00,TAXES,INCOME TAXES,Business Tax Suspense Account
0.00,Police Department,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,0.00,-61507.03,Non-Governmental Grants,NONGOVT GRANTS-HIGHWAYS & STS,TEA- CITY WIDE CONSTRUCTION PROJECT
0.00,Administration for Children's Services,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-61508.02,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
127102331.00,Administration for Children's Services,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,123307996.00,-61508.02,Federal Grants-Categorical,Health and Human Services,FOSTER CARE TITLE IV-E
228173216.00,Administration for Children's Services,2016,Billed Revenue,2016,General Fund,STATE,228173216.00,-61513.00,State Grants-Categorical,SOCIAL SERVICES,FOSTER CARE BLOCK GRANT
0.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-61514.00,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
139000000.00,Department of Buildings,2016,Collected Revenue,2016,General Fund,CITY FUNDS,139000000.00,-61525.52,"LICENS. PERM. PRIV, FRANCHISES",PERMITS,CONSTRUCTION PERMITS
0.00,Police Department,2016,Billed Revenue,2016,General Fund,STATE,1421656.00,-61530.00,State Grants-Categorical,MOTOR VEHICLES,STOP DRIVING WHILE INTOXICATED
16332722.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,16681867.00,-61536.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
16332722.00,Housing Preservation and Development,2016,Billed Revenue,2018,General Fund,FEDERAL - OTHER,16681867.00,-61536.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
16332722.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,16681867.00,-61536.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
16332722.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,16681867.00,-61536.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
16332722.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,16681867.00,-61536.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
16332722.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,16681867.00,-61536.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
16332722.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,16681867.00,-61536.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
16332722.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,16681867.00,-61536.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
16332722.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,16681867.00,-61536.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
16332722.00,Housing Preservation and Development,2016,Billed Revenue,2018,General Fund,FEDERAL - OTHER,16681867.00,-61536.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
16332722.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,16681867.00,-61536.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
16332722.00,Housing Preservation and Development,2016,Billed Revenue,2018,General Fund,FEDERAL - OTHER,16681867.00,-61536.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
16332722.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,16681867.00,-61538.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
16332722.00,Housing Preservation and Development,2016,Billed Revenue,2018,General Fund,FEDERAL - OTHER,16681867.00,-61538.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,SECTION 8 ADMIN FEES - MODERATE SRO
30000000.00,Department of Education,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,62198645.00,-61538.00,Federal Grants-Categorical,EDUCATION,TITLE I GRANTS TO LOCAL EDUCATIONAL AGCS
30000000.00,Department of Education,2016,Unbilled Revenue,2017,General Fund,FEDERAL - OTHER,62198645.00,-61538.00,Federal Grants-Categorical,EDUCATION,TITLE I GRANTS TO LOCAL EDUCATIONAL AGCS
856500.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,894552.00,-61578.87,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
856500.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,894552.00,-61578.87,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
8000000.00,Mayoralty,2016,Billed Revenue,2017,General Fund,CITY FUNDS,1500000.00,-61579.48,TAXES,OTHER TAXES,TAXI MEDALION TRANSFER TAX
0.00,District Attorney -Kings County,2016,Collected Revenue,2016,General Fund,STATE,209444.00,-61591.05,State Grants-Categorical,CRIMINAL JUSTICE,MOTOR VEHICLE THEFT INSU FRAUD
0.00,District Attorney -Kings County,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,294100.00,-61591.05,Federal Grants-Categorical,JUSTICE,BYRNE FORMULA GRANT PROGRAM - PROSECUTIO
0.00,Miscellaneous,2016,Accounts Left In Old Year,2016,General Fund,CITY FUNDS,0.00,-61591.05,MISCELLANEOUS,MISCELLANEOUS,SUNDRIES
127102331.00,Administration for Children's Services,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,123307996.00,-61595.00,Federal Grants-Categorical,Health and Human Services,FOSTER CARE TITLE IV-E
12000000.00,Department of Finance,2016,Collected Revenue,2016,General Fund,CITY FUNDS,13800000.00,-61600.00,CHARGES FOR SERVICES,GENERAL GOVERNMENTAL CHARGES,ADMINISTRATIVE SERV TO PUBLIC
12000000.00,Department of Finance,2016,Collected Revenue,2016,General Fund,CITY FUNDS,13800000.00,-61600.00,CHARGES FOR SERVICES,GENERAL GOVERNMENTAL CHARGES,ADMINISTRATIVE SERV TO PUBLIC
127102331.00,Administration for Children's Services,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,123307996.00,-61635.35,Federal Grants-Categorical,Health and Human Services,FOSTER CARE TITLE IV-E
69622126.00,Department of Social Services,2016,Billed Revenue,2017,General Fund,STATE,76602545.00,-61644.00,State Grants-Categorical,SOCIAL SERVICES,WORK NOW
