"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"1634","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2014","3930745","4082409","25154.25","Collected Revenue"
"1635","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2013","","","25154.25","Billed Revenue"
"1636","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","24879.84","Collected Unearned Revenue Roll"
"1637","Department of Youth and Community Development","Federal Grants-Categorical","WIA National Emergency","General Fund","FEDERAL - OTHER","LABOR","2013","2013","0","365275","24795.56","Collected Revenue"
"1638","Department of Youth and Community Development","Federal Grants-Categorical","WIA National Emergency","General Fund","FEDERAL - OTHER","LABOR","2013","2013","0","365275","24795.56","Billed Revenue"
"1639","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","24404.13","Billed Revenue"
"1640","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","23280.46","Collected Revenue"
"1641","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","23280.46","Billed Revenue"
"1642","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","23026.37","Collected Revenue"
"1643","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","23026.37","Billed Revenue"
"1644","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","22882.99","Collected Revenue"
"1645","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","22882.99","Billed Revenue"
"1646","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","21752.79","Collected Revenue"
"1647","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","21752.79","Billed Revenue"
"1648","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","21641.62","Collected Revenue"
"1649","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","21641.62","Billed Revenue"
"1650","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","20748.12","Collected Revenue"
"1651","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","20748.12","Billed Revenue"
"1652","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","20363.89","Collected Revenue"
"1653","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","20363.89","Billed Revenue"
"1654","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","19992.94","Billed Revenue"
"1655","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","19992.94","Collected Revenue"
"1656","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","17788.96","Billed Revenue"
"1657","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","17458.59","Billed Revenue"
"1658","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","17458.59","Collected Revenue"
"1659","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","16263.41","Collected Revenue"
"1660","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","16263.41","Billed Revenue"
"1661","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","15961.34","Collected Revenue"
"1662","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","15961.34","Billed Revenue"
"1663","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","15650.86","Collected Revenue"
"1664","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","15650.86","Billed Revenue"
"1665","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","12384.89","Collected Revenue"
"1666","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","12384.89","Billed Revenue"
"1667","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","12138.07","Collected Revenue"
"1668","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","12138.07","Billed Revenue"
"1669","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","11185.93","Collected Revenue"
"1670","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","11185.93","Billed Revenue"
"1671","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","9649","Unbilled Revenue"
"1672","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","9649","Billed Revenue"
"1673","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","9279.75","Collected Revenue"
"1674","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","9279.75","Billed Revenue"
"1675","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","EMERGENCY SHELTER GRANTS PROGRAM","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2013","2020","0","98217","9254.79","Accounts Left In Old Year"
"1676","Department of Youth and Community Development","Federal Grants-Categorical","FEMA Sandy B Emergency Protective Measures","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2013","2013","0","45425","9175","Unbilled Revenue"
"1677","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","9056.08","Collected Revenue"
"1678","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","9056.08","Billed Revenue"
"1679","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","9655657","9014.37","Collected Revenue"
"1680","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","FEMA Sandy E Buildings and Equipment","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2013","2021","0","0","8722","Accounts Left In Old Year"
"1681","Department of Youth and Community Development","Federal Grants-Categorical","FEMA Sandy B Emergency Protective Measures","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2013","2014","0","45425","8722","Accounts Left In Old Year"
"1682","Department of Youth and Community Development","Federal Grants-Categorical","FEMA Sandy E Buildings and Equipment","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2013","2014","0","0","8722","Unbilled Revenue"
"1683","Department of Youth and Community Development","Federal Grants-Categorical","FEMA Sandy B Emergency Protective Measures","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2013","2013","0","45425","8722","Unbilled Revenue"
"1684","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","9655657","8065.74","Collected Revenue"
"1685","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","8065.74","Billed Revenue"
"1686","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","7789.18","Collected Revenue"
"1687","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","7789.18","Billed Revenue"
"1688","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","6607.4","Collected Revenue"
"1689","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","6607.4","Billed Revenue"
"1690","Department of Youth and Community Development","Federal Grants-Categorical","FEMA Sandy B Emergency Protective Measures","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2013","2014","0","45425","5500","Collected Revenue"
"1691","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","5168.79","Collected Revenue"
"1692","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","5168.79","Billed Revenue"
"1693","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2014","2880847","2880847","5000","Collected Revenue"
"1694","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","4952.45","Collected Revenue"
"1695","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","4952.45","Billed Revenue"
"1696","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","4850.61","Collected Revenue"
"1697","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","4850.61","Billed Revenue"
"1698","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","4754.69","Collected Revenue"
"1699","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","4754.69","Billed Revenue"
"1700","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","4349.93","Collected Unearned Revenue Roll"
"1701","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","4222.16","Collected Revenue"
"1702","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","4222.16","Billed Revenue"
"1703","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","4162.42","Collected Revenue"
"1704","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","4162.42","Billed Revenue"
"1705","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","2880847","2880847","4140.11","Collected Revenue"
"1706","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","2880847","2880847","4140.11","Billed Revenue"
"1707","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","4030.89","Collected Revenue"
"1708","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","4030.89","Billed Revenue"
"1709","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","3894.53","Billed Revenue"
"1710","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","3826.5","Collected Revenue"
"1711","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","3826.5","Billed Revenue"
"1712","Department of Youth and Community Development","Federal Grants-Categorical","FEMA Sandy B Emergency Protective Measures","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2013","2014","0","45425","3675","Accounts Left In Old Year"
"1713","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","3133.62","Collected Revenue"
"1714","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","3133.62","Billed Revenue"
"1715","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","2656.48","Collected Revenue"
"1716","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","2656.48","Billed Revenue"
"1717","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","2195.7","Billed Revenue"
"1718","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","2170.98","Collected Revenue"
"1719","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","2170.98","Billed Revenue"
"1720","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","1928.37","Collected Revenue"
"1721","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","1928.37","Billed Revenue"
"1722","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","10669854","1849.92","Collected Revenue"
"1723","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","1849.92","Billed Revenue"
"1724","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","10669854","1800.98","Collected Revenue"
"1725","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","1800.98","Billed Revenue"
"1726","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2013","2014","571614","597633","1800.82","Accounts Left In Old Year"
"1727","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2013","2014","571614","597633","1800.81","Collected Revenue"
"1728","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2013","2013","","","1800.81","Billed Revenue"
"1729","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","1700.33","Collected Unearned Revenue Roll"
"1730","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","1357.88","Collected Revenue"
"1731","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","1357.88","Billed Revenue"
"1732","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","1356.24","Collected Revenue"
"1733","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","1356.24","Billed Revenue"
"1734","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","2880847","2880847","1351.18","Collected Revenue"
"1735","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","1351.18","Billed Revenue"
"1736","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","1347.35","Collected Revenue"
"1737","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","1347.35","Billed Revenue"
"1738","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","1347.15","Collected Revenue"
"1739","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","1347.15","Billed Revenue"
"1740","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2014","3930745","4082409","987.75","Accounts Left In Old Year"
"1741","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","932.72","Collected Revenue"
"1742","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","932.72","Billed Revenue"
"1743","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","582.16","Collected Revenue"
"1744","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","582.16","Billed Revenue"
"1745","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","10669854","547.86","Collected Revenue"
"1746","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","547.86","Billed Revenue"
"1747","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","9655657","498.25","Collected Revenue"
"1748","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","9655657","136.38","Collected Revenue"
"1749","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","10669854","79.98","Collected Revenue"
"1750","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","79.98","Billed Revenue"
"1751","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","2","Collected Revenue"
"1752","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","2","Billed Revenue"
"1753","Department of Youth and Community Development","State Grants and Contracts-Categorical","YOUTH INITIATIVES","General Fund","STATE","YOUTH","2013","2020","0","13532390","0.34","Accounts Left In Old Year"
"1754","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2013","2014","571614","597633","0.18","Accounts Left In Old Year"
"1755","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2014","3930745","4082409","-0.01","Billed Revenue"
"1756","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2014","3930745","4082409","-0.02","Billed Revenue"
"1757","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2014","3930745","4082409","-0.02","Billed Revenue"
"1758","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2014","3930745","4082409","-0.04","Billed Revenue"
"1759","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2014","3930745","4082409","-0.04","Billed Revenue"
"1760","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2014","3930745","4082409","-0.05","Billed Revenue"
"1761","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2013","2014","571614","597633","-0.18","Unbilled Revenue"
"1762","Department of Youth and Community Development","State Grants and Contracts-Categorical","YOUTH INITIATIVES","General Fund","STATE","YOUTH","2013","2020","0","13532390","-0.34","Billed Revenue"
"1763","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2014","3930745","4082409","-0.45","Billed Revenue"
"1764","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2014","3930745","4082409","-0.95","Billed Revenue"
"1765","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2014","3930745","4082409","-1.65","Billed Revenue"
"1766","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-2","Billed Revenue"
"1767","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","10669854","-79.98","Billed Revenue"
"1768","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","9655657","-136.38","Unbilled Revenue"
"1769","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","9655657","-498.25","Unbilled Revenue"
"1770","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","10669854","-547.86","Billed Revenue"
"1771","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-582.16","Billed Revenue"
"1772","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-932.72","Billed Revenue"
"1773","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2014","3930745","4082409","-984.52","Billed Revenue"
"1774","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-1347.15","Billed Revenue"
"1775","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-1347.35","Billed Revenue"
"1776","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","2880847","2880847","-1351.18","Billed Revenue"
"1777","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-1356.24","Billed Revenue"
"1778","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-1357.88","Billed Revenue"
